date_key,card_type,gate_in,total_passenger,total_fare
2025-07-01,BRIZZI,False,6,110500.0
2025-07-01,BRIZZI,True,8,62000.0
2025-07-01,E-Money,False,7,84500.0
2025-07-01,E-Money,True,6,117000.0
2025-07-01,Flazz,False,4,95000.0
2025-07-01,Flazz,True,3,58500.0
2025-07-01,JakCard,False,5,59000.0
2025-07-01,JakCard,True,5,77000.0
2025-07-02,BRIZZI,False,4,93500.0
2025-07-02,BRIZZI,True,6,145000.0
2025-07-02,E-Money,False,7,68000.0
2025-07-02,E-Money,True,8,77500.0
2025-07-02,Flazz,False,5,75500.0
2025-07-02,Flazz,True,3,2000.0
2025-07-02,JakCard,False,10,174500.0
2025-07-02,JakCard,True,4,75000.0
2025-07-03,BRIZZI,False,8,107500.0
2025-07-03,BRIZZI,True,5,77000.0
2025-07-03,E-Money,False,7,119000.0
2025-07-03,E-Money,True,6,39000.0
2025-07-03,Flazz,False,3,7500.0
2025-07-03,Flazz,True,12,109000.0
2025-07-03,JakCard,False,7,129000.0
2025-07-03,JakCard,True,2,37000.0
2025-07-04,BRIZZI,False,6,145000.0
2025-07-04,BRIZZI,True,12,184500.0
2025-07-04,E-Money,False,6,77000.0
2025-07-04,E-Money,True,5,58500.0
2025-07-04,Flazz,False,4,125000.0
2025-07-04,Flazz,True,1,2000.0
2025-07-04,JakCard,False,4,25500.0
2025-07-04,JakCard,True,5,93500.0
2025-07-05,BRIZZI,False,6,61000.0
2025-07-05,BRIZZI,True,5,128500.0
2025-07-05,E-Money,False,3,9000.0
2025-07-05,E-Money,True,4,43500.0
2025-07-05,Flazz,False,9,139000.0
2025-07-05,Flazz,True,6,115500.0
2025-07-05,JakCard,False,7,115500.0
2025-07-05,JakCard,True,9,117500.0
2025-07-06,BRIZZI,False,7,113500.0
2025-07-06,BRIZZI,True,10,148500.0
2025-07-06,E-Money,False,6,112000.0
2025-07-06,E-Money,True,7,51500.0
2025-07-06,Flazz,False,3,73500.0
2025-07-06,Flazz,True,3,39000.0
2025-07-06,JakCard,False,4,77000.0
2025-07-06,JakCard,True,5,62000.0
2025-07-07,BRIZZI,False,6,130000.0
2025-07-07,BRIZZI,True,7,101000.0
2025-07-07,E-Money,False,4,60500.0
2025-07-07,E-Money,True,1,2000.0
2025-07-07,Flazz,False,10,113000.0
2025-07-07,Flazz,True,6,85500.0
2025-07-07,JakCard,False,2,37000.0
2025-07-07,JakCard,True,2,22000.0
2025-07-08,BRIZZI,False,9,107500.0
2025-07-08,BRIZZI,True,2,23500.0
2025-07-08,E-Money,False,6,95500.0
2025-07-08,E-Money,True,7,82500.0
2025-07-08,Flazz,False,4,62000.0
2025-07-08,Flazz,True,3,23500.0
2025-07-08,JakCard,False,6,60500.0
2025-07-08,JakCard,True,5,97000.0
2025-07-09,BRIZZI,False,7,59000.0
2025-07-09,BRIZZI,True,8,64500.0
2025-07-09,E-Money,False,5,13000.0
2025-07-09,E-Money,True,7,84000.0
2025-07-09,Flazz,False,6,84000.0
2025-07-09,Flazz,True,6,75500.0
